"Carimbo de data/hora","Nome (operador)","#TICKET","CONTRATO"
"2023/05/10 10:30:57 AM GMT-3","SALETE JULIA FOLSTER SCHMITZ"," #51152","PF"
"2023/05/10 10:36:57 AM GMT-3","Patrick Borges","Ticket #51203","CAASC 0025"
"2023/05/10 10:43:09 AM GMT-3","Hugo Cesar da Silva","Ticket: #51177","PJ COLETIVO EMPRESARIAL"
"2023/05/10 10:46:48 AM GMT-3","LUNA CASTANHEIRO DE CARVALHO","#51147","PF"
"2023/05/10 10:54:44 AM GMT-3","Marina Toneli Siqueira (mãe de Alice Toneli Siqueira Da Ros)","Ticket: #51128","UFSC"
"2023/05/10 10:59:53 AM GMT-3","RAYSSA SILVA DE CAMPOS","Ticket: #51158","PF"
"2023/05/10 11:02:53 AM GMT-3","MARCOS STEIN","Ticket #51169","PJ COLETIVO EMPRESARIAL"
"2023/05/10 11:04:54 AM GMT-3","Opção 1","Ticket: #51149","PJ COLETIVO EMPRESARIAL"
"2023/05/10 11:05:09 AM GMT-3","Natalia","Ticket: #51227","PJ COLETIVO EMPRESARIAL"
"2023/05/10 11:05:53 AM GMT-3","Marina","#51245","PJ COLETIVO EMPRESARIAL"
"2023/05/10 11:07:28 AM GMT-3","Estela","Ticket: #51190","PJ COLETIVO EMPRESARIAL"
"2023/05/10 11:14:20 AM GMT-3","vanessa gallardo","protocolo 36044920230510108151 - chat","PJ COLETIVO ADESÃO"
"2023/05/10 11:16:34 AM GMT-3","Estela","Ticket: #51248","PJ COLETIVO EMPRESARIAL"
"2023/05/10 11:17:21 AM GMT-3","juliana","#51146","PJ COLETIVO ADESÃO"
"2023/05/10 11:20:26 AM GMT-3","Renato ","Ticket: #51264","CAASC 0976"
"2023/05/10 11:22:25 AM GMT-3","Suzani CASSIANI","Ticket: #51244","UFSC"
"2023/05/10 11:24:10 AM GMT-3","Érika Mulassani ","Ticket: #51200","PF"
"2023/05/10 11:25:25 AM GMT-3","Natalia","Ticket: #51253","PJ COLETIVO ADESÃO"
"2023/05/10 11:26:01 AM GMT-3","Érika Mulassani Mainardi ","Ticket: #51201","PF"
"2023/05/10 11:26:42 AM GMT-3","Estela","Ticket: #51250","INTERCAMBIO"
